,Emmaton,Jersey Point,Collinsville,Rock Slough,Antioch,Mallard,LosVaqueros,Martinez,MiddleRiver,Vict Intake,CVP Intake,CCFB_OldR
1940-04-13,183.2801055908203,238.75738525390625,197.74807739257812,315.858154296875,237.6944122314453,206.84056091308594,361.63958740234375,3120.41259765625,458.97119140625,363.6114501953125,351.34716796875,331.85107421875
1940-04-14,182.70547485351562,237.6472930908203,197.32708740234375,315.7350769042969,237.45248413085938,205.38214111328125,358.8188171386719,2935.166015625,441.1519775390625,355.31549072265625,350.9743347167969,331.7837829589844
1940-04-15,181.8614044189453,236.2480010986328,196.82830810546875,315.7987365722656,238.6259002685547,204.32827758789062,353.09130859375,2598.413818359375,419.95733642578125,347.4145202636719,350.34259033203125,330.7267150878906
1940-04-16,181.41448974609375,235.100830078125,196.22787475585938,315.29949951171875,238.0735321044922,204.25469970703125,349.895751953125,2459.497802734375,401.81683349609375,341.7707214355469,347.6091613769531,329.0232238769531
1940-04-17,181.21852111816406,234.25164794921875,195.2224884033203,314.08935546875,237.49813842773438,204.31423950195312,350.3820495605469,2337.3857421875,392.377197265625,340.33447265625,346.3460693359375,328.2160949707031
1940-04-18,181.8549346923828,233.7650604248047,194.75205993652344,312.1777038574219,236.10704040527344,204.72991943359375,352.4714050292969,2502.286376953125,388.8690185546875,340.7099609375,348.1978759765625,328.4970397949219
1940-04-19,182.51556396484375,233.17819213867188,194.43455505371094,310.1149597167969,233.74078369140625,206.2843475341797,357.8608703613281,2693.308349609375,392.3681335449219,343.5563659667969,350.54290771484375,329.40594482421875
1940-04-20,182.897705078125,232.5248565673828,194.9319610595703,308.47491455078125,233.71224975585938,207.8577880859375,359.3403015136719,2848.524658203125,393.3639831542969,345.166259765625,353.5182800292969,330.62371826171875
1940-04-21,183.24024963378906,231.64694213867188,195.734375,306.8695068359375,231.25637817382812,212.4595489501953,361.91717529296875,3142.31494140625,395.82220458984375,346.9039611816406,354.9827880859375,330.97747802734375
1940-04-22,183.224853515625,230.5330352783203,196.43504333496094,305.1700439453125,229.45733642578125,216.70419311523438,363.6973876953125,3381.8330078125,398.2778015136719,349.1636962890625,353.9876708984375,331.373291015625
1940-04-23,182.9427490234375,229.4884033203125,196.65826416015625,304.2320861816406,228.50418090820312,215.82708740234375,361.147705078125,3599.723388671875,396.75311279296875,349.03436279296875,352.6812744140625,331.048583984375
1940-04-24,182.67425537109375,228.63726806640625,196.6747589111328,303.5148620605469,227.15625,214.2256317138672,358.3517150878906,3736.33935546875,393.7994079589844,347.8279724121094,348.0971374511719,329.56121826171875
1940-04-25,182.29139709472656,227.88623046875,196.03370666503906,302.6439208984375,224.2720184326172,213.87327575683594,355.40325927734375,3651.39208984375,390.2662658691406,346.1277160644531,344.6438293457031,328.30865478515625
